SecurityID,rUpDown,Date,winRate,tradeCount,winLim,winCount,perWin,lossLim,lossCount,perLoss,dayLim,OverCount,perOver,cDownLim,cDownCount,percDown
300390,rU2D15,20220321,2.062,97,0.05,48,49.5,-0.03,43,44.3,5,3,3.1,-1,2,2.1
300390,rU2D13,20220321,2.057,112,0.03,82,73.2,-2.0,0,0.0,5,15,13.4,-1,15,13.4
300390,rU3D15,20220321,2.057,83,0.05,55,66.3,-2.0,0,0.0,7,8,9.6,-1,19,22.9
300390,rU3D16,20220321,2.051,84,0.05,43,51.2,-0.03,37,44.0,5,1,1.2,-1,2,2.4
300390,rU2D18,20220321,2.048,93,0.05,47,50.5,-0.03,42,45.2,10,1,1.1,-1,2,2.2
300390,rU2D13,20220321,2.048,102,0.05,48,47.1,-0.03,42,41.2,3,8,7.8,-1,3,2.9
300390,rU3D10,20220321,2.047,89,0.05,56,62.9,-2.0,0,0.0,10,5,5.6,-1,27,30.3
300390,rU2D14,20220321,2.04,96,0.05,48,50.0,-0.03,44,45.8,5,2,2.1,-1,1,1.0
300390,rU3D15,20220321,2.034,83,0.05,56,67.5,-2.0,0,0.0,10,7,8.4,-1,19,22.9
300390,rU2D17,20220321,2.033,100,0.05,47,47.0,-0.03,39,39.0,3,11,11.0,-1,2,2.0
300390,rU3D17,20220321,2.029,85,0.05,44,51.8,-0.03,38,44.7,5,1,1.2,-1,1,1.2
300390,rU3D17,20220321,2.027,86,0.05,41,47.7,-0.03,32,37.2,3,11,12.8,-1,1,1.2
300390,rU3D14,20220321,2.027,86,0.05,41,47.7,-0.03,32,37.2,3,11,12.8,-1,1,1.2
300390,rU3D14,20220321,2.026,85,0.05,44,51.8,-0.03,38,44.7,5,1,1.2,-1,1,1.2
300390,rU3D11,20220321,2.02,91,0.05,46,50.5,-0.03,40,44.0,10,0,0.0,-1,4,4.4
300390,rU3D11,20220321,2.02,91,0.05,46,50.5,-0.03,40,44.0,7,0,0.0,-1,4,4.4
300390,rU2D6,20220321,2.011,110,0.05,54,49.1,-0.03,49,44.5,10,0,0.0,-1,6,5.5
300390,rU2D6,20220321,2.011,110,0.05,54,49.1,-0.03,49,44.5,7,0,0.0,-1,6,5.5
300390,rU2D13,20220321,2.01,98,0.05,63,64.3,-2.0,0,0.0,7,13,13.3,-1,21,21.4
300390,rU2D6,20220321,2.008,112,0.05,53,47.3,-0.03,45,40.2,3,7,6.2,-1,6,5.4
300390,rU2D18,20220321,2.004,93,0.05,47,50.5,-0.03,42,45.2,7,1,1.1,-1,2,2.2
300390,rU3D13,20220321,1.997,84,0.05,56,66.7,-2.0,0,0.0,7,7,8.3,-1,20,23.8
300390,rU3D10,20220321,1.991,89,0.05,53,59.6,-2.0,0,0.0,5,11,12.4,-1,24,27.0
300390,rU3D8,20220321,1.981,89,0.05,57,64.0,-2.0,0,0.0,10,4,4.5,-1,27,30.3
300390,rU3D13,20220321,1.97,86,0.05,44,51.2,-0.03,39,45.3,10,0,0.0,-1,2,2.3
300390,rU3D13,20220321,1.97,86,0.05,44,51.2,-0.03,39,45.3,7,0,0.0,-1,2,2.3
300390,rU3D2,20220321,1.965,73,0.05,39,53.4,-0.03,33,45.2,10,0,0.0,-2,0,0.0
300390,rU3D2,20220321,1.965,73,0.05,39,53.4,-0.03,33,45.2,7,0,0.0,-2,0,0.0
300390,rU2D6,20220321,1.961,110,0.05,53,48.2,-0.03,49,44.5,5,2,1.8,-1,5,4.5
300390,rU3D2,20220321,1.959,70,0.05,38,54.3,-2.0,0,0.0,3,31,44.3,-2,0,0.0
300390,rU3D2,20220321,1.956,115,0.05,50,43.5,-0.03,40,34.8,10,0,0.0,-1,24,20.9
300390,rU3D2,20220321,1.956,115,0.05,50,43.5,-0.03,40,34.8,5,0,0.0,-1,24,20.9
300390,rU3D2,20220321,1.956,115,0.05,50,43.5,-0.03,40,34.8,7,0,0.0,-1,24,20.9
300390,rU3D12,20220321,1.953,87,0.05,44,50.6,-0.03,39,44.8,5,1,1.1,-1,2,2.3
300390,rU3D10,20220321,1.953,92,0.05,46,50.0,-0.03,41,44.6,7,0,0.0,-1,4,4.3
300390,rU3D10,20220321,1.953,92,0.05,46,50.0,-0.03,41,44.6,10,0,0.0,-1,4,4.3
300390,rU3D9,20220321,1.951,92,0.05,46,50.0,-0.03,41,44.6,10,0,0.0,-1,4,4.3
300390,rU3D9,20220321,1.951,92,0.05,46,50.0,-0.03,41,44.6,7,0,0.0,-1,4,4.3
300390,rU2D15,20220321,1.938,99,0.05,46,46.5,-0.03,39,39.4,3,11,11.1,-1,2,2.0
300390,rU2D5,20220321,1.935,111,0.05,65,58.6,-2.0,0,0.0,7,8,7.2,-1,37,33.3
300390,rU3D18,20220321,1.934,81,0.05,42,51.9,-0.03,37,45.7,7,0,0.0,-1,1,1.2
300390,rU3D18,20220321,1.934,81,0.05,42,51.9,-0.03,37,45.7,10,0,0.0,-1,1,1.2
300390,rU3D2,20220321,1.922,75,0.05,37,49.3,-0.03,28,37.3,3,9,12.0,-2,0,0.0
300390,rU2D5,20220321,1.921,111,0.05,63,56.8,-2.0,0,0.0,5,13,11.7,-1,34,30.6
300390,rU3D2,20220321,1.914,115,0.05,49,42.6,-0.03,40,34.8,3,1,0.9,-1,24,20.9
300390,rU2D20,20220321,1.913,91,0.05,57,62.6,-2.0,0,0.0,7,16,17.6,-1,17,18.7
300390,rU2D18,20220321,1.913,91,0.05,58,63.7,-2.0,0,0.0,7,15,16.5,-1,17,18.7
300390,rU2D14,20220321,1.901,98,0.05,46,46.9,-0.03,41,41.8,3,9,9.2,-1,1,1.0
300390,rU3D12,20220321,1.895,88,0.05,41,46.6,-0.03,34,38.6,3,10,11.4,-1,2,2.3
300390,rU2D2,20220321,1.894,75,0.05,52,69.3,-2.0,0,0.0,7,22,29.3,-2,0,0.0
300390,rU2D2,20220321,1.892,141,0.05,68,48.2,-0.05,23,16.3,5,0,0.0,-1,49,34.8
300390,rU2D2,20220321,1.892,141,0.05,68,48.2,-0.05,23,16.3,7,0,0.0,-1,49,34.8
300390,rU2D2,20220321,1.892,141,0.05,68,48.2,-0.05,23,16.3,10,0,0.0,-1,49,34.8
300390,rU4D9,20220321,1.889,71,0.05,45,63.4,-2.0,0,0.0,10,3,4.2,-1,23,32.4
300390,rU3D10,20220321,1.886,89,0.05,56,62.9,-2.0,0,0.0,7,6,6.7,-1,26,29.2
300390,rU2D2,20220321,1.884,141,0.05,66,46.8,-0.05,22,15.6,3,4,2.8,-1,48,34.0
300390,rU3D8,20220321,1.884,92,0.05,46,50.0,-0.03,42,45.7,10,0,0.0,-1,3,3.3
300390,rU3D8,20220321,1.884,92,0.05,46,50.0,-0.03,42,45.7,7,0,0.0,-1,3,3.3
300390,rU2D17,20220321,1.884,111,0.03,79,71.2,-2.0,0,0.0,5,19,17.1,-1,13,11.7
300390,rU3D18,20220321,1.881,83,0.05,40,48.2,-0.03,32,38.6,3,9,10.8,-1,1,1.2
300390,rU3D3,20220321,1.881,116,0.05,53,45.7,-0.03,47,40.5,10,0,0.0,-1,15,12.9
300390,rU3D3,20220321,1.881,116,0.05,53,45.7,-0.03,47,40.5,7,0,0.0,-1,15,12.9
300390,rU3D3,20220321,1.881,116,0.05,53,45.7,-0.03,47,40.5,5,0,0.0,-1,15,12.9
300390,rU2D11,20220321,1.879,113,0.03,82,72.6,-2.0,0,0.0,5,14,12.4,-1,17,15.0
300390,rU2D20,20220321,1.874,98,0.03,76,77.6,-2.0,0,0.0,10,7,7.1,-1,15,15.3
300390,rU2D3,20220321,1.873,124,0.05,68,54.8,-2.0,0,0.0,10,0,0.0,-1,55,44.4
300390,rU3D6,20220321,1.873,92,0.05,56,60.9,-2.0,0,0.0,10,2,2.2,-1,33,35.9
300390,rU3D19,20220321,1.861,81,0.05,55,67.9,-2.0,0,0.0,10,6,7.4,-1,19,23.5
300390,rU3D17,20220321,1.86,82,0.05,52,63.4,-2.0,0,0.0,5,14,17.1,-1,15,18.3
300390,rU2D19,20220321,1.859,110,0.03,77,70.0,-2.0,0,0.0,5,20,18.2,-1,13,11.8
